,ResNet50,Label
1223,[0. 0. 0. ... 0. 0. 0.],Cats
1224,[0. 0. 0. ... 0. 0. 0.],Cats
1225,[0.00049214 0.         0.         ... 0.         0.         0.        ],Cats
1226,[0.         0.         0.         ... 0.00051611 0.         0.        ],Cats
1227,[0. 0. 0. ... 0. 0. 0.],Dogs
1228,[0. 0. 0. ... 0. 0. 0.],Cats
1229,[0. 0. 0. ... 0. 0. 0.],Cats
1230,[0. 0. 0. ... 0. 0. 0.],Cats
1231,[0. 0. 0. ... 0. 0. 0.],Cats
1232,[0. 0. 0. ... 0. 0. 0.],Cats
1233,[0.         0.         0.         ... 0.00900841 0.         0.        ],Cats
1234,[0. 0. 0. ... 0. 0. 0.],Cats
1235,[0. 0. 0. ... 0. 0. 0.],Dogs
1236,[0. 0. 0. ... 0. 0. 0.],Cats
1237,[0.         0.         0.         ... 0.00776907 0.         0.        ],Cats
1238,[0.        0.0032281 0.        ... 0.        0.        0.       ],Dogs
1239,[0.         0.         0.         ... 0.01487606 0.         0.        ],Cats
1240,[0. 0. 0. ... 0. 0. 0.],Dogs
1241,[0. 0. 0. ... 0. 0. 0.],Dogs
1242,[0.         0.         0.         ... 0.         0.00939823 0.        ],Cats
1243,[0. 0. 0. ... 0. 0. 0.],Dogs
1244,[0. 0. 0. ... 0. 0. 0.],Cats
1245,[0.         0.         0.         ... 0.00618837 0.         0.        ],Dogs
1246,[0.         0.         0.         ... 0.01227902 0.         0.        ],Dogs
1247,[0.        0.        0.        ... 0.        0.        0.0062224],Cats
1248,[0. 0. 0. ... 0. 0. 0.],Cats
1249,[0. 0. 0. ... 0. 0. 0.],Cats
1250,"[5.15639489e-05 0.00000000e+00 4.97095415e-04 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",Dogs
1251,[0.         0.         0.         ... 0.00075945 0.         0.02746302],Cats
1252,[0. 0. 0. ... 0. 0. 0.],Dogs
1253,[0. 0. 0. ... 0. 0. 0.],Cats
1254,[0. 0. 0. ... 0. 0. 0.],Dogs
1255,[0.         0.00120203 0.         ... 0.00544181 0.         0.        ],Dogs
1256,[0. 0. 0. ... 0. 0. 0.],Dogs
1257,[0.00131055 0.         0.         ... 0.         0.         0.        ],Dogs
1258,[0. 0. 0. ... 0. 0. 0.],Cats
1259,[0. 0. 0. ... 0. 0. 0.],Cats
1260,[0. 0. 0. ... 0. 0. 0.],Cats
1261,[0.         0.         0.         ... 0.         0.         0.00010534],Cats
1262,[0. 0. 0. ... 0. 0. 0.],Dogs
1263,[0.         0.         0.         ... 0.         0.         0.00535802],Cats
1264,[0. 0. 0. ... 0. 0. 0.],Cats
1265,[0. 0. 0. ... 0. 0. 0.],Dogs
1266,[0. 0. 0. ... 0. 0. 0.],Cats
1267,[0.         0.00093525 0.00625363 ... 0.         0.         0.        ],Dogs
1268,[0. 0. 0. ... 0. 0. 0.],Cats
1269,[0. 0. 0. ... 0. 0. 0.],Cats
1270,[0.         0.         0.         ... 0.00316219 0.00233468 0.        ],Cats
1271,[0.        0.        0.        ... 0.0047241 0.        0.       ],Cats
1272,[0. 0. 0. ... 0. 0. 0.],Dogs
1273,[0.01051215 0.         0.         ... 0.         0.         0.        ],Dogs
1274,[0. 0. 0. ... 0. 0. 0.],Dogs
1275,[0. 0. 0. ... 0. 0. 0.],Cats
1276,[0. 0. 0. ... 0. 0. 0.],Cats
1277,[0. 0. 0. ... 0. 0. 0.],Dogs
1278,[0.         0.         0.         ... 0.00012074 0.         0.        ],Cats
1279,[0. 0. 0. ... 0. 0. 0.],Dogs
1280,[0.         0.         0.         ... 0.00176931 0.         0.        ],Cats
1281,[0.         0.         0.         ... 0.         0.         0.00442556],Dogs
1282,[0. 0. 0. ... 0. 0. 0.],Cats
1283,[0. 0. 0. ... 0. 0. 0.],Dogs
1284,[0. 0. 0. ... 0. 0. 0.],Cats
1285,[0.00088275 0.00914605 0.         ... 0.         0.         0.        ],Dogs
1286,[0. 0. 0. ... 0. 0. 0.],Dogs
1287,[0. 0. 0. ... 0. 0. 0.],Cats
1288,[0.00077262 0.         0.         ... 0.0052287  0.00750463 0.        ],Dogs
1289,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 9.50286181e-05
 0.00000000e+00 0.00000000e+00]",Cats
1290,[0. 0. 0. ... 0. 0. 0.],Dogs
1291,[0. 0. 0. ... 0. 0. 0.],Cats
1292,[0. 0. 0. ... 0. 0. 0.],Cats
1293,[0. 0. 0. ... 0. 0. 0.],Dogs
1294,[0. 0. 0. ... 0. 0. 0.],Dogs
1295,[0.         0.         0.00032772 ... 0.         0.         0.        ],Dogs
1296,[0. 0. 0. ... 0. 0. 0.],Dogs
1297,[0.         0.         0.         ... 0.01268659 0.00058095 0.        ],Cats
1298,[0. 0. 0. ... 0. 0. 0.],Cats
1299,[0. 0. 0. ... 0. 0. 0.],Dogs
1300,[0.         0.         0.         ... 0.00017126 0.         0.        ],Dogs
1301,[0.         0.         0.         ... 0.         0.         0.00303003],Cats
1302,[0.         0.         0.00256762 ... 0.         0.         0.        ],Dogs
1303,[0.         0.         0.00055832 ... 0.         0.         0.        ],Dogs
1304,[0. 0. 0. ... 0. 0. 0.],Dogs
1305,[0. 0. 0. ... 0. 0. 0.],Cats
1306,[0. 0. 0. ... 0. 0. 0.],Cats
1307,[0. 0. 0. ... 0. 0. 0.],Dogs
1308,[0. 0. 0. ... 0. 0. 0.],Cats
1309,[0.        0.        0.        ... 0.        0.0037574 0.       ],Cats
1310,[0.         0.         0.         ... 0.         0.         0.00151798],Cats
1311,[0.         0.         0.         ... 0.01105957 0.         0.        ],Cats
1312,[0. 0. 0. ... 0. 0. 0.],Dogs
1313,[0. 0. 0. ... 0. 0. 0.],Cats
1314,[0. 0. 0. ... 0. 0. 0.],Dogs
1315,[0. 0. 0. ... 0. 0. 0.],Cats
1316,[0. 0. 0. ... 0. 0. 0.],Cats
1317,[0.         0.         0.         ... 0.         0.00259654 0.        ],Dogs
1318,[0. 0. 0. ... 0. 0. 0.],Dogs
1319,[0. 0. 0. ... 0. 0. 0.],Cats
1320,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.31615838e-05
 0.00000000e+00 0.00000000e+00]",Cats
1321,[0. 0. 0. ... 0. 0. 0.],Dogs
1322,[0.         0.         0.         ... 0.02630928 0.00582521 0.        ],Cats
1323,[0.         0.         0.         ... 0.01641106 0.         0.        ],Dogs
1324,[0. 0. 0. ... 0. 0. 0.],Dogs
1325,[0.00193703 0.         0.         ... 0.         0.00326967 0.        ],Dogs
1326,[0. 0. 0. ... 0. 0. 0.],Cats
1327,[0. 0. 0. ... 0. 0. 0.],Cats
1328,[0. 0. 0. ... 0. 0. 0.],Dogs
1329,[0. 0. 0. ... 0. 0. 0.],Dogs
1330,[0. 0. 0. ... 0. 0. 0.],Dogs
1331,[0.         0.00619855 0.         ... 0.         0.         0.        ],Cats
1332,[0. 0. 0. ... 0. 0. 0.],Dogs
1333,[0. 0. 0. ... 0. 0. 0.],Cats
1334,[0. 0. 0. ... 0. 0. 0.],Dogs
1335,[0.         0.         0.         ... 0.         0.         0.00262884],Dogs
1336,[0. 0. 0. ... 0. 0. 0.],Dogs
1337,[0.         0.         0.         ... 0.         0.00185223 0.        ],Dogs
1338,[0. 0. 0. ... 0. 0. 0.],Cats
1339,[0.         0.         0.         ... 0.00806156 0.         0.        ],Cats
1340,[0.         0.         0.00235359 ... 0.         0.         0.        ],Dogs
1341,[0.         0.         0.         ... 0.         0.         0.00337013],Cats
1342,[0. 0. 0. ... 0. 0. 0.],Dogs
1343,[0.         0.         0.         ... 0.01991148 0.         0.        ],Cats
1344,[0.         0.         0.00061778 ... 0.         0.         0.        ],Cats
1345,[0.         0.         0.         ... 0.00283808 0.         0.        ],Cats
1346,[0.         0.         0.         ... 0.00378213 0.         0.        ],Cats
1347,[0.         0.         0.         ... 0.         0.00363721 0.        ],Cats
1348,[0. 0. 0. ... 0. 0. 0.],Dogs
1349,[0.         0.         0.         ... 0.00237003 0.         0.        ],Cats
1350,[0. 0. 0. ... 0. 0. 0.],Dogs
1351,"[9.02157386e-05 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",Cats
1352,[0. 0. 0. ... 0. 0. 0.],Cats
1353,[0.         0.00032847 0.         ... 0.         0.         0.        ],Cats
1354,[0. 0. 0. ... 0. 0. 0.],Dogs
1355,[0. 0. 0. ... 0. 0. 0.],Dogs
1356,[0.         0.         0.         ... 0.         0.         0.00532706],Dogs
1357,[0.         0.00075834 0.         ... 0.         0.         0.02006801],Dogs
1358,[0. 0. 0. ... 0. 0. 0.],Dogs
1359,[0. 0. 0. ... 0. 0. 0.],Dogs
1360,[0. 0. 0. ... 0. 0. 0.],Cats
1361,[0.00031531 0.         0.         ... 0.00638389 0.         0.        ],Dogs
1362,[0.         0.         0.         ... 0.         0.00089213 0.        ],Dogs
1363,[0.         0.         0.         ... 0.00032856 0.         0.00141409],Dogs
1364,[0.         0.         0.         ... 0.00067822 0.         0.        ],Cats
1365,[0.         0.         0.         ... 0.01034068 0.         0.        ],Dogs
1366,[0.         0.00211155 0.         ... 0.         0.         0.        ],Dogs
1367,[0.00106104 0.         0.         ... 0.         0.         0.        ],Cats
1368,[0.         0.01130221 0.         ... 0.         0.00296372 0.        ],Cats
1369,[0.         0.         0.         ... 0.00093481 0.         0.        ],Cats
1370,[0. 0. 0. ... 0. 0. 0.],Dogs
1371,[0.         0.         0.         ... 0.00178316 0.         0.        ],Dogs
1372,[0.         0.         0.         ... 0.         0.         0.02597604],Cats
1373,[0.00431607 0.         0.         ... 0.         0.         0.        ],Cats
1374,[0.         0.         0.00047902 ... 0.00299366 0.         0.        ],Cats
1375,[0.         0.         0.         ... 0.00579865 0.         0.        ],Cats
1376,[0. 0. 0. ... 0. 0. 0.],Cats
1377,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.80823347e-02
 8.11627113e-05 0.00000000e+00]",Cats
1378,[0.00413112 0.         0.         ... 0.         0.         0.        ],Dogs
1379,[0. 0. 0. ... 0. 0. 0.],Dogs
1380,[0. 0. 0. ... 0. 0. 0.],Dogs
1381,[0. 0. 0. ... 0. 0. 0.],Cats
1382,[0.         0.         0.         ... 0.00938556 0.         0.        ],Dogs
1383,[0. 0. 0. ... 0. 0. 0.],Dogs
1384,[0. 0. 0. ... 0. 0. 0.],Dogs
1385,[0.         0.         0.         ... 0.00052052 0.         0.00698766],Cats
1386,[0.         0.         0.         ... 0.         0.         0.00139142],Dogs
1387,[0. 0. 0. ... 0. 0. 0.],Cats
1388,[0. 0. 0. ... 0. 0. 0.],Dogs
1389,[0. 0. 0. ... 0. 0. 0.],Dogs
1390,[0.         0.         0.         ... 0.         0.00263068 0.        ],Dogs
1391,[0.         0.         0.         ... 0.00964511 0.00095484 0.        ],Cats
1392,[0. 0. 0. ... 0. 0. 0.],Dogs
1393,[0. 0. 0. ... 0. 0. 0.],Dogs
1394,[0. 0. 0. ... 0. 0. 0.],Cats
1395,[0.        0.        0.        ... 0.0117215 0.        0.       ],Dogs
1396,[0. 0. 0. ... 0. 0. 0.],Cats
1397,[0. 0. 0. ... 0. 0. 0.],Cats
1398,[0. 0. 0. ... 0. 0. 0.],Cats
1399,[0. 0. 0. ... 0. 0. 0.],Dogs
1400,[0.         0.         0.         ... 0.         0.00013978 0.00057231],Cats
1401,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
 8.26950608e-05 2.69584100e-03]",Cats
1402,[0.         0.         0.         ... 0.         0.00122187 0.        ],Cats
1403,[0. 0. 0. ... 0. 0. 0.],Cats
1404,[0.         0.         0.         ... 0.00035963 0.         0.00093207],Cats
1405,[0.         0.         0.         ... 0.01186108 0.         0.        ],Cats
1406,[0. 0. 0. ... 0. 0. 0.],Cats
1407,[0. 0. 0. ... 0. 0. 0.],Dogs
1408,[0.         0.         0.         ... 0.         0.00248487 0.00542467],Cats
1409,[0. 0. 0. ... 0. 0. 0.],Dogs
1410,[0. 0. 0. ... 0. 0. 0.],Dogs
1411,[0.         0.         0.         ... 0.01294604 0.         0.        ],Cats
1412,[0. 0. 0. ... 0. 0. 0.],Dogs
1413,[0.         0.         0.         ... 0.02498761 0.00282286 0.        ],Cats
1414,[0.         0.         0.00715711 ... 0.         0.         0.        ],Cats
1415,[0. 0. 0. ... 0. 0. 0.],Cats
1416,[0.         0.         0.         ... 0.         0.         0.00038136],Dogs
1417,[0.        0.        0.        ... 0.0089221 0.        0.       ],Dogs
1418,[0. 0. 0. ... 0. 0. 0.],Dogs
1419,[0.        0.        0.        ... 0.        0.0145386 0.       ],Cats
1420,[0.         0.         0.         ... 0.         0.         0.00329402],Cats
1421,[0.00428171 0.         0.         ... 0.         0.         0.        ],Dogs
1422,[0. 0. 0. ... 0. 0. 0.],Cats
1423,[0.         0.00105739 0.         ... 0.         0.00900393 0.        ],Cats
1424,[0. 0. 0. ... 0. 0. 0.],Cats
1425,[0.         0.         0.         ... 0.         0.         0.00220064],Dogs
1426,[0. 0. 0. ... 0. 0. 0.],Cats
1427,[0. 0. 0. ... 0. 0. 0.],Cats
1428,[0.         0.00108814 0.         ... 0.         0.00634833 0.        ],Dogs
1429,[0. 0. 0. ... 0. 0. 0.],Dogs
1430,[0.         0.         0.         ... 0.02611928 0.         0.        ],Dogs
1431,[0.00637256 0.         0.         ... 0.         0.         0.        ],Dogs
1432,[0.         0.         0.         ... 0.00232426 0.         0.        ],Cats
1433,[0. 0. 0. ... 0. 0. 0.],Cats
1434,[0. 0. 0. ... 0. 0. 0.],Cats
1435,[0.         0.         0.         ... 0.01205545 0.00082015 0.        ],Cats
1436,[0. 0. 0. ... 0. 0. 0.],Dogs
1437,[0. 0. 0. ... 0. 0. 0.],Cats
1438,[0.         0.         0.00468086 ... 0.         0.         0.        ],Dogs
1439,[0. 0. 0. ... 0. 0. 0.],Dogs
1440,[0. 0. 0. ... 0. 0. 0.],Dogs
1441,[0.         0.         0.         ... 0.00482258 0.         0.        ],Cats
1442,[0.         0.         0.         ... 0.         0.         0.01744437],Cats
1443,[0. 0. 0. ... 0. 0. 0.],Cats
1444,[0. 0. 0. ... 0. 0. 0.],Cats
1445,[0.        0.        0.        ... 0.        0.        0.0126388],Dogs
1446,[0. 0. 0. ... 0. 0. 0.],Cats
1447,[0. 0. 0. ... 0. 0. 0.],Dogs
1448,[0.         0.         0.00262487 ... 0.         0.         0.00079865],Dogs
1449,[0. 0. 0. ... 0. 0. 0.],Dogs
1450,[0. 0. 0. ... 0. 0. 0.],Dogs
1451,"[0.00000000e+00 6.79889768e-05 0.00000000e+00 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",Cats
1452,[0. 0. 0. ... 0. 0. 0.],Dogs
1453,[0. 0. 0. ... 0. 0. 0.],Dogs
1454,[0. 0. 0. ... 0. 0. 0.],Dogs
1455,[0. 0. 0. ... 0. 0. 0.],Dogs
1456,[0. 0. 0. ... 0. 0. 0.],Cats
1457,[0.         0.         0.         ... 0.00807829 0.         0.        ],Dogs
1458,[0. 0. 0. ... 0. 0. 0.],Cats
1459,[0. 0. 0. ... 0. 0. 0.],Dogs
1460,[0. 0. 0. ... 0. 0. 0.],Cats
1461,[0.         0.         0.         ... 0.         0.         0.00389606],Cats
1462,[0. 0. 0. ... 0. 0. 0.],Cats
1463,[0.         0.         0.00112489 ... 0.         0.         0.        ],Cats
1464,[0. 0. 0. ... 0. 0. 0.],Cats
1465,[0. 0. 0. ... 0. 0. 0.],Dogs
1466,[0. 0. 0. ... 0. 0. 0.],Cats
1467,[0. 0. 0. ... 0. 0. 0.],Dogs
1468,[0.         0.         0.         ... 0.00610473 0.         0.        ],Dogs
1469,[0. 0. 0. ... 0. 0. 0.],Dogs
1470,[0.         0.         0.         ... 0.         0.00292561 0.00195256],Cats
1471,[0. 0. 0. ... 0. 0. 0.],Dogs
1472,[0. 0. 0. ... 0. 0. 0.],Dogs
1473,[0. 0. 0. ... 0. 0. 0.],Cats
1474,[0. 0. 0. ... 0. 0. 0.],Dogs
1475,[0. 0. 0. ... 0. 0. 0.],Cats
1476,[0.         0.         0.         ... 0.01553506 0.         0.        ],Cats
1477,[0.        0.        0.        ... 0.        0.0019192 0.       ],Cats
1478,[0. 0. 0. ... 0. 0. 0.],Dogs
1479,[0.         0.         0.         ... 0.00193661 0.00509941 0.        ],Dogs
1480,[0. 0. 0. ... 0. 0. 0.],Cats
1481,[0.        0.        0.        ... 0.        0.        0.0007794],Cats
1482,[0.         0.         0.         ... 0.         0.         0.00200601],Cats
1483,[0. 0. 0. ... 0. 0. 0.],Cats
1484,[0.00980377 0.         0.         ... 0.         0.         0.        ],Cats
1485,[0. 0. 0. ... 0. 0. 0.],Dogs
1486,[0.         0.         0.         ... 0.00179773 0.         0.        ],Cats
1487,[0. 0. 0. ... 0. 0. 0.],Dogs
1488,[0. 0. 0. ... 0. 0. 0.],Dogs
1489,[0.         0.         0.         ... 0.         0.         0.00156808],Cats
1490,[0. 0. 0. ... 0. 0. 0.],Cats
1491,[0. 0. 0. ... 0. 0. 0.],Dogs
1492,[0.         0.00109784 0.         ... 0.         0.         0.        ],Dogs
1493,[0. 0. 0. ... 0. 0. 0.],Cats
1494,[0. 0. 0. ... 0. 0. 0.],Cats
1495,[0. 0. 0. ... 0. 0. 0.],Dogs
1496,[0. 0. 0. ... 0. 0. 0.],Dogs
1497,[0. 0. 0. ... 0. 0. 0.],Dogs
1498,[0.         0.         0.         ... 0.         0.         0.00511847],Dogs
1499,[0. 0. 0. ... 0. 0. 0.],Dogs
1500,[0. 0. 0. ... 0. 0. 0.],Dogs
1501,[0.         0.         0.         ... 0.00849854 0.         0.        ],Cats
1502,[0.         0.         0.         ... 0.         0.         0.00262791],Dogs
1503,[0.        0.        0.        ... 0.0021097 0.        0.       ],Cats
1504,[0. 0. 0. ... 0. 0. 0.],Cats
1505,[0.00594466 0.00538655 0.         ... 0.         0.         0.        ],Dogs
1506,[0. 0. 0. ... 0. 0. 0.],Cats
1507,[0. 0. 0. ... 0. 0. 0.],Dogs
1508,[0. 0. 0. ... 0. 0. 0.],Dogs
1509,[0. 0. 0. ... 0. 0. 0.],Dogs
1510,[0. 0. 0. ... 0. 0. 0.],Cats
1511,[0.         0.         0.         ... 0.         0.00148913 0.00362122],Cats
1512,[0.         0.         0.         ... 0.00022017 0.         0.        ],Cats
1513,[0. 0. 0. ... 0. 0. 0.],Cats
1514,[0.0044851 0.        0.        ... 0.        0.        0.       ],Dogs
1515,[0. 0. 0. ... 0. 0. 0.],Cats
1516,[0. 0. 0. ... 0. 0. 0.],Cats
1517,[0. 0. 0. ... 0. 0. 0.],Dogs
1518,[0. 0. 0. ... 0. 0. 0.],Cats
1519,[0.         0.         0.         ... 0.02297634 0.         0.        ],Dogs
1520,[0.         0.         0.         ... 0.00017765 0.         0.        ],Cats
1521,[0.         0.00235788 0.         ... 0.00029269 0.00027241 0.        ],Cats
1522,[0. 0. 0. ... 0. 0. 0.],Dogs
1523,[0. 0. 0. ... 0. 0. 0.],Cats
1524,[0.         0.         0.         ... 0.00035057 0.         0.        ],Cats
1525,[0. 0. 0. ... 0. 0. 0.],Dogs
1526,[0. 0. 0. ... 0. 0. 0.],Cats
1527,[0. 0. 0. ... 0. 0. 0.],Cats
1528,[0. 0. 0. ... 0. 0. 0.],Cats
1529,[0. 0. 0. ... 0. 0. 0.],Cats
1530,[0.         0.         0.         ... 0.01759447 0.         0.        ],Cats
1531,[0. 0. 0. ... 0. 0. 0.],Cats
1532,[0. 0. 0. ... 0. 0. 0.],Cats
1533,[0.         0.         0.         ... 0.00472804 0.00688265 0.00259295],Cats
1534,[0. 0. 0. ... 0. 0. 0.],Dogs
1535,[0.         0.         0.         ... 0.         0.         0.00087149],Dogs
1536,[0. 0. 0. ... 0. 0. 0.],Cats
1537,[0. 0. 0. ... 0. 0. 0.],Dogs
1538,[0. 0. 0. ... 0. 0. 0.],Dogs
1539,[0. 0. 0. ... 0. 0. 0.],Dogs
1540,[0. 0. 0. ... 0. 0. 0.],Dogs
1541,[0. 0. 0. ... 0. 0. 0.],Cats
1542,[0. 0. 0. ... 0. 0. 0.],Cats
1543,[0. 0. 0. ... 0. 0. 0.],Cats
1544,[0. 0. 0. ... 0. 0. 0.],Cats
1545,[0. 0. 0. ... 0. 0. 0.],Dogs
1546,[0. 0. 0. ... 0. 0. 0.],Cats
1547,[0. 0. 0. ... 0. 0. 0.],Cats
1548,[0.         0.         0.         ... 0.00069478 0.         0.        ],Cats
1549,[0.         0.         0.         ... 0.00585657 0.         0.        ],Cats
1550,[0. 0. 0. ... 0. 0. 0.],Cats
1551,[0. 0. 0. ... 0. 0. 0.],Dogs
1552,[0.         0.         0.         ... 0.         0.00685849 0.        ],Cats
1553,[0.         0.00350088 0.         ... 0.         0.         0.        ],Cats
1554,[0. 0. 0. ... 0. 0. 0.],Dogs
1555,[0. 0. 0. ... 0. 0. 0.],Dogs
1556,[0. 0. 0. ... 0. 0. 0.],Cats
1557,[0.         0.         0.         ... 0.         0.00045475 0.        ],Cats
1558,[0.         0.         0.         ... 0.00467248 0.         0.        ],Cats
1559,[0. 0. 0. ... 0. 0. 0.],Dogs
1560,[0.         0.00139772 0.         ... 0.         0.         0.        ],Dogs
1561,[0. 0. 0. ... 0. 0. 0.],Cats
1562,[0. 0. 0. ... 0. 0. 0.],Cats
1563,[0.         0.0064981  0.         ... 0.         0.         0.00115457],Cats
1564,[0. 0. 0. ... 0. 0. 0.],Dogs
1565,[0. 0. 0. ... 0. 0. 0.],Dogs
1566,[0.         0.         0.         ... 0.01414643 0.         0.        ],Cats
1567,[0. 0. 0. ... 0. 0. 0.],Dogs
1568,[0.         0.         0.         ... 0.         0.00059232 0.        ],Cats
1569,[0.         0.         0.         ... 0.00607655 0.         0.        ],Dogs
1570,[0. 0. 0. ... 0. 0. 0.],Dogs
1571,[0.         0.         0.         ... 0.01004278 0.         0.        ],Dogs
1572,[0.00061039 0.         0.         ... 0.         0.         0.        ],Dogs
1573,[0. 0. 0. ... 0. 0. 0.],Dogs
1574,[0.         0.00014216 0.         ... 0.         0.         0.        ],Dogs
1575,[0.         0.         0.         ... 0.         0.00883007 0.        ],Cats
1576,[0. 0. 0. ... 0. 0. 0.],Dogs
1577,[0. 0. 0. ... 0. 0. 0.],Dogs
1578,[0.         0.         0.         ... 0.         0.         0.00072399],Dogs
1579,[0.        0.        0.        ... 0.        0.        0.0058665],Cats
1580,[0.         0.         0.         ... 0.00183716 0.         0.        ],Cats
1581,[0. 0. 0. ... 0. 0. 0.],Dogs
1582,"[0.00000000e+00 3.50556877e-05 0.00000000e+00 ... 5.44857795e-04
 0.00000000e+00 0.00000000e+00]",Dogs
1583,[0.         0.         0.         ... 0.         0.00017718 0.        ],Dogs
1584,[0.         0.         0.         ... 0.         0.         0.01037093],Cats
1585,[0. 0. 0. ... 0. 0. 0.],Dogs
1586,[0.         0.         0.00378353 ... 0.         0.         0.00181284],Dogs
1587,[0.         0.         0.         ... 0.         0.00052898 0.        ],Cats
1588,[0. 0. 0. ... 0. 0. 0.],Cats
1589,[0.         0.         0.         ... 0.01366043 0.         0.        ],Dogs
1590,[0.01163811 0.         0.         ... 0.         0.         0.        ],Cats
1591,[0. 0. 0. ... 0. 0. 0.],Dogs
1592,[0. 0. 0. ... 0. 0. 0.],Dogs
1593,[0.         0.         0.         ... 0.02719695 0.         0.        ],Dogs
1594,[0.         0.         0.         ... 0.00519238 0.         0.        ],Dogs
1595,[0.         0.         0.         ... 0.         0.00130132 0.        ],Cats
1596,[0.00679991 0.         0.         ... 0.         0.         0.00401242],Dogs
1597,[0. 0. 0. ... 0. 0. 0.],Dogs
1598,[0. 0. 0. ... 0. 0. 0.],Dogs
1599,[0. 0. 0. ... 0. 0. 0.],Dogs
1600,[0. 0. 0. ... 0. 0. 0.],Dogs
1601,[0. 0. 0. ... 0. 0. 0.],Dogs
1602,[0. 0. 0. ... 0. 0. 0.],Dogs
1603,[0. 0. 0. ... 0. 0. 0.],Cats
1604,[0.         0.         0.         ... 0.         0.         0.00283302],Dogs
1605,[0. 0. 0. ... 0. 0. 0.],Dogs
1606,[0. 0. 0. ... 0. 0. 0.],Dogs
1607,[0.         0.         0.         ... 0.         0.01175437 0.        ],Cats
1608,[0.         0.         0.         ... 0.00075984 0.         0.        ],Dogs
1609,[0. 0. 0. ... 0. 0. 0.],Dogs
1610,[0. 0. 0. ... 0. 0. 0.],Cats
1611,[0. 0. 0. ... 0. 0. 0.],Cats
1612,[0. 0. 0. ... 0. 0. 0.],Dogs
1613,[0. 0. 0. ... 0. 0. 0.],Dogs
1614,[0.         0.         0.         ... 0.01657703 0.         0.        ],Dogs
1615,[0.         0.00445632 0.         ... 0.00050057 0.00434951 0.        ],Cats
1616,[0. 0. 0. ... 0. 0. 0.],Dogs
1617,[0. 0. 0. ... 0. 0. 0.],Cats
1618,[0.         0.         0.         ... 0.01019827 0.         0.        ],Dogs
1619,[0. 0. 0. ... 0. 0. 0.],Dogs
1620,[0.         0.         0.         ... 0.00479959 0.         0.00099118],Cats
1621,[0. 0. 0. ... 0. 0. 0.],Dogs
1622,[0. 0. 0. ... 0. 0. 0.],Cats
1623,[0. 0. 0. ... 0. 0. 0.],Dogs
1624,[0. 0. 0. ... 0. 0. 0.],Dogs
1625,[0. 0. 0. ... 0. 0. 0.],Cats
1626,[0.00310167 0.00446402 0.         ... 0.         0.         0.        ],Dogs
1627,[0. 0. 0. ... 0. 0. 0.],Cats
1628,[0. 0. 0. ... 0. 0. 0.],Dogs
1629,[0. 0. 0. ... 0. 0. 0.],Dogs
1630,[0. 0. 0. ... 0. 0. 0.],Dogs
1631,[0. 0. 0. ... 0. 0. 0.],Dogs
1632,[0. 0. 0. ... 0. 0. 0.],Dogs
1633,[0. 0. 0. ... 0. 0. 0.],Dogs
1634,[0. 0. 0. ... 0. 0. 0.],Dogs
1635,[0. 0. 0. ... 0. 0. 0.],Dogs
1636,[0. 0. 0. ... 0. 0. 0.],Cats
1637,[0.         0.00620452 0.         ... 0.         0.         0.        ],Cats
1638,[0. 0. 0. ... 0. 0. 0.],Dogs
1639,[0. 0. 0. ... 0. 0. 0.],Cats
1640,[0. 0. 0. ... 0. 0. 0.],Cats
1641,[0. 0. 0. ... 0. 0. 0.],Dogs
1642,[0.         0.00014587 0.         ... 0.         0.         0.        ],Cats
1643,[0.         0.         0.         ... 0.01793858 0.         0.        ],Dogs
1644,[0.         0.         0.         ... 0.         0.         0.00791899],Dogs
1645,[0. 0. 0. ... 0. 0. 0.],Dogs
1646,[0.         0.         0.         ... 0.00265774 0.         0.        ],Dogs
1647,[0.         0.         0.         ... 0.         0.00268138 0.        ],Dogs
1648,[0. 0. 0. ... 0. 0. 0.],Cats
1649,[0.        0.        0.        ... 0.        0.        0.0168698],Cats
1650,[0. 0. 0. ... 0. 0. 0.],Dogs
1651,[0. 0. 0. ... 0. 0. 0.],Cats
1652,[0.        0.        0.        ... 0.0045865 0.        0.       ],Dogs
1653,[0. 0. 0. ... 0. 0. 0.],Cats
1654,[0.00310622 0.         0.         ... 0.         0.         0.00145507],Dogs
1655,[0.         0.00066646 0.         ... 0.         0.         0.00249849],Cats
1656,[0. 0. 0. ... 0. 0. 0.],Cats
1657,[0.         0.         0.         ... 0.         0.00307245 0.        ],Dogs
1658,[0.         0.         0.         ... 0.         0.         0.00456606],Cats
1659,[0. 0. 0. ... 0. 0. 0.],Cats
1660,[0. 0. 0. ... 0. 0. 0.],Dogs
1661,[0.         0.         0.         ... 0.00882266 0.         0.        ],Cats
1662,[0.         0.         0.         ... 0.00317733 0.         0.        ],Dogs
1663,[0.         0.         0.         ... 0.01646117 0.         0.        ],Cats
